restaurante, total, productos, fecha, dia
'Dean & Dennys - Puerto Madero', 1198, ['Doble Cheeseburger Urbana & Papas Chicas'], 27/3/2022, Domingo
'Mostaza - MF2', 890, ['2 Cuarto Cheddar + 2 Papas Regulares'], 20/3/2022, Domingo
'El Club de la Milanesa Barrio Norte', 1180.5, ['Wrap Milanesitas de Pollo', 'Medallones Napolitanos'],19/3/2022, Sábado
'KFC - Galerías Pacífico',  1144.5, ['Big Box Discovery'], 10/3/2022, Jueves
'Burgertify - Av Córdoba', 1332.5, ['Wonder Boy Burger'], 12/2/2022, Domingo
'Dean & Dennys - Puerto Madero', 938.5, ['2 Cheeseburger Urbanas & 1 Papas'], 9/2/2021, Miércoles
'Milanga & Co', 1430, ['Promo Sándwich Épico'], 8/2/2022, Martes
'Wok tu Wok - San Telmo', 1351, ['2 Woks de Arroz a Elección y 1 Franui.'], 6/2/2022, Domingo
'Cadore', 2304, ['Pack Cucuruchos X 3', '1/4kg Pistacho Siciliano', '1 kg de Helado'], 28/1/2022, Viernes
'Il Quotidiano - Bar de Pastas', 4184, ['Maccheroni Alla Bolognese', 'Burrata', 'Cable de Télefono', 'Spaghetti Negro con Langostinos'], 28/1/2022, Viernes
'El Club de la Milanesa Barrio Norte', 1682, ['Mix Clásico con Bebida a Elección', 'Degustación de Milanesas'], 26/1/2022, Miércoles
'El Club de la Milanesa Barrio Norte', 1682, ['Mix Clásico con Bebida a Elección', 'Degustación de Milanesas'], 25/1/2022, Martes
'La Farola Express - Flores', 950, ['Mila Napolitana & Guarnición'], 12/1/2022, Miércoles
'El Club de la Milanesa Barrio Norte', 1062, ['Milanesa la Gringa'], 11/1/2022, Martes
'Green Eat- Florida', 1300, ['Combo Compartir: 2 Wraps Mexico'], 8/1/2022, Sábado
'El Club de la Milanesa Barrio Norte', 935, ['Milanesa Capresse'], 6/1/2022, Jueves
'Sensu - Patio Bullrich', 1158, ['Shogun con Pollo'], 29/12/2021, Miércoles
'Milanga & Co', 894, ['Super Sándwich Completo de Pollo'], 27/12/2021, Lunes
'Chemuzza - Obelisco', 1127, ['Promo Grupal 4 Che', 'Combo 3 Empanadas'], 22/12/2021, Miércoles
'Parrilla El Gaucho', 866, ['Empanada de Carne', 'Empanada de Carne','Bife Chorizo a la Pizza'], 16/12/2021, Jueves
'El Club de la Milanesa Barrio Norte', 958, ['Milanesa Capresse'], 11/12/2021, Sábado
'Perez H- San Telmo, 990, ['Hamburguesa el Bobazo con Papas'], 5/12/2021, Domingo
'Juan Bautista Parrilla Gaucha', 899, ['Sándwich Vuelta & Vuelta con Papas'], 28/11/2021, Domingo
'El Club de la Milanesa Barrio Norte', 798, ['Chicken Mix', 'Wrap de Pollo + Papas O Nachos'], 27/11/2021, Sábado
'La Fábrica del Taco - San Telmo', 1010, ['Orden de Quesadillas X 3', 'Burrito de Pollo'], 22/11/2021, Lunes
'Tea Connection - Florida', 890, ['Chicken Wrap & Bebida'], 14/11/2021, Domingo
'Pippo', 890, ['Empanada de Carne', 'Suprema Deshuesada a la Parrilla'], 14/11/2021, Domingo
'Milanga & Co', 495, ['Ensalada Lo de Cesar'], 13/11/2021, Sábado
'Sensu - Galerías Pacífico', 800, ['Promo! Chaw Mien + Chaw Fan + 3 Wan Tan'], 7/11/2021, Domingo
'The Food Truck Store', 880, ['Big Tfts'], 7/11/2021, Domingo
'Woks & Bowls - Congreso', 865, ['Wok Gohan', Tepan de Pollo], 30/10/2021, Sábado